"Category","Type","Symbol & domain","Description and units"
"Balance","Time-series","d(n,h)","Demand hour h [MWh]"
"Generation","Costs","c_fix(n,tech)","Annual fixed costs [EUR per MW per year]"
"Generation","Costs","c_inv_overnight(n,tech)","Investment costs: Overnight [EUR per MW]"
"Generation","Costs","c_do(n,tech)","Load change costs DOWN [EUR per MWh]"
"Generation","Costs","c_up(n,tech)","Load change costs UP [EUR per MWh]"
"Generation","Costs","co2price(n,tech)","CO2 price in [EUR per ton]"
"Generation","Costs","fuelprice(n,tech)","Fuel price conventionals [EUR per MWh thermal]"
"Generation","Costs","interest_rate_tech(n,tech)","Investment costs: Interest rate [%]"
"Generation","Technology","carbon_content(n,tech)","CO2 emissions per fuel unit used [tons per MWh thermal]"
"Generation","Technology","co2_cap","Yearly CO2 overall cap"
"Generation","Technology","co2_cap_exog(n)","Yearly CO2 cap per node"
"Generation","Technology","eta(n,tech)","Efficiency of conventional technologies [0 1]"
"Generation","Technology","grad_per_min(n,tech)","Maximum load change relative to installed capacity [% of installed capacity per minute]"
"Generation","Technology","lifetime_tech(n,tech)","Investment costs: technical lifetime [a]"
"Generation","Technology","m_e(n,tech)","Investment: maximum installable energy [TWh per a]"
"Generation","Technology","m_p(n,tech)","Investment: maximum installable capacity per technology [MW]"
"Generation","Technology","phi_min_res(n)","Minimum renewables share per node [0 1]"
"Generation","Time-series","phi_res(n,tech,h)","Renewables availability technology res in hour h [0 1]"
"Storage","Costs","c_fix_sto(n,sto)","Annual fixed costs [EUR per MW]"
"Storage","Costs","c_inv_overnight_sto_e(n,sto)","Investment costs for storage energy: Overnight [EUR per MWh]"
"Storage","Costs","c_inv_overnight_sto_p(n,sto)","Investment costs for storage capacity: Overnight [EUR per MW]"
"Storage","Costs","c_m_sto(n,sto)","Marginal costs of storing in or out [EUR per MWh]"
"Storage","Costs","interest_rate_sto(n,sto)","Investment costs: for storage Interest rate [%]"
"Storage","Technology","eta_sto(n,sto)","Storage efficiency [0 1]"
"Storage","Technology","etop_max(n,sto)","Maximum E to P ratio of storage types [#]"
"Storage","Technology","lifetime_sto(n,sto)","Investment costs: for storage technical lifetime [a]"
"Storage","Technology","m_sto_e(n,sto)","Investment into storage: maximum installable energy [MWh]"
"Storage","Technology","m_sto_p(n,sto)","Investment into storage: maximum installable power [MW]"
"Storage","Technology","phi_sto_ini(n,sto)","Initial storage level [0 1]"
"Reservoir","Costs","c_fix_rsvr(n,rsvr)","Annual fixed costs [EUR per MW per a]"
"Reservoir","Costs","c_inv_overnight_rsvr_e(n,rsvr)","Investment costs for reservoir energy: Overnight [EUR per MWh]"
"Reservoir","Costs","c_inv_overnight_rsvr_p(n,rsvr)","Investment costs for reservoir capacity: Overnight [EUR per MW]"
"Reservoir","Costs","inv_interest_rsvr(n,rsvr)","Investment costs for reservoir: Interest rate [%]"
